descricao_produto_preco_minimo,id_produto,uf,regionalizacao,ano_inicio_vigencia,mes_incio_vigencia,ano_termino_vigencia,mes_termino_vigencia,preco,dsc_unidade_comercializacao,nome_normativo,url,local
ARROZ LONGO EM CASCA                    ,4686,BA,BA             ,2014,2,2015,1,21.3,60 kg                                                       ,"PORTARIA Nº 201, DE 1º DE JULH",NI                                                                                                  ,BA
ARROZ LONGO EM CASCA                    ,4686,BA,BA             ,2015,2,2016,1,21.3,60 kg                                                       ,"PORTARIA Nº 201, DE 1º DE JULH",NI                                                                                                  ,BA
ARROZ LONGO EM CASCA                    ,4686,BA,BA             ,2016,2,2017,1,24.45,60 kg                                                       ,"PORTARIA Nº 142, DE 8 DE JULHO",http://biblioteca.conab.gov.br/phl82/pdf/legislacao/2015_PRT_142.pdf                                ,BA
ARROZ LONGO EM CASCA                    ,4686,BA,BA             ,2017,2,2018,1,24.45,60 kg                                                       ,"PORTARIA Nº 123, DE 5 DE JULHO",http://biblioteca.conab.gov.br/phl82/pdf/legislacao/2016_PRT_123.pdf                                ,BA
ARROZ LONGO EM CASCA                    ,4686,BA,BA             ,2018,2,2019,1,24.45,60 kg                                                       ,"PORTARIA Nº  1.577, DE 17 DE J",http://biblioteca.conab.gov.br/phl82/pdf/legislacao/2017_PRT_1577.pdf                               ,BA
ARROZ LONGO EM CASCA                    ,4686,BA,BA             ,2019,2,2020,1,24.45,60 kg                                                       ,"PORTARIA Nº 135, DE 12 DE JULH",http://biblioteca.conab.gov.br/phl82/pdf/legislacao/2018_PRT_935.pdf                                ,BA
ARROZ LONGO EM CASCA                    ,4686,BA,BA             ,2020,2,2021,1,26.9,60 kg                                                       ,"PORTARIA Nº 190, DE 9 DE JUNHO",http://biblioteca.conab.gov.br/phl82/pdf/legislacao/2020_PRT_190.pdf                                ,BA
ARROZ LONGO EM CASCA                    ,4686,BA,BA             ,2021,2,2022,1,26.9,60 kg                                                       ,"PORTARIA Nº 190, DE 9 DE JUNHO",http://biblioteca.conab.gov.br/phl82/pdf/legislacao/2020_PRT_190.pdf                                ,BA
ARROZ LONGO EM CASCA                    ,4686,BA,BA             ,2022,2,2023,1,26.9,60 kg                                                       ,"PORTARIA Nº 201, DE 1º DE JULH",http://biblioteca.conab.gov.br/phl82/pdf/legislacao/2021_PRT_201.pdf                                ,BA
ARROZ LONGO EM CASCA                    ,4686,BA,BA             ,2023,2,2024,1,26.9,60 kg                                                       ,"PORTARIA MAPA Nº 452, DE 4 DE ",https://biblioteca.conab.gov.br/phl82/pdf/legislacao/2022_PRT_452.pdf                               ,BA
ARROZ LONGO EM CASCA                    ,4686,BA,BA             ,2024,2,2025,1,26.9,60 kg                                                       ,"PORTARIA MAPA Nº 612, DE 31 DE",https://www.in.gov.br/en/web/dou/-/portaria-mapa-n-612-de-31-de-agosto-de-2023-507003445            ,BA
ARROZ LONGO EM CASCA                    ,4686,BA,BA             ,2025,2,2026,1,21.58,60 kg                                                       ,"PORTARIA MAPA Nº 700, DE 15 DE",https://www.in.gov.br/en/web/dou/-/portaria-mapa-n-700-de-15-de-julho-de-2024-572339980             ,BA
ARROZ LONGO EM CASCA                    ,4686,CE,CE             ,2014,2,2015,1,21.3,60 kg                                                       ,"PORTARIA Nº 201, DE 1º DE JULH",NI                                                                                                  ,CE
ARROZ LONGO EM CASCA                    ,4686,CE,CE             ,2015,2,2016,1,21.3,60 kg                                                       ,"PORTARIA Nº 201, DE 1º DE JULH",NI                                                                                                  ,CE
